nco_id,job_title,sector,12th_stream,primary_riasec,secondary_riasec,core_skills
2141.0100,Civil Engineer,Infrastructure,Science,R,I,"Structural Design, AutoCAD, Project Management, Surveying, Concrete Technology, Cost Estimation"
2146.0100,Marine Engineer,Maritime,Science,R,I,"Ship Machinery, Navigation Systems, Fluid Mechanics, Marine Regulations, Engine Operations, Safety"
2211.0100,Physician,Healthcare,Science,S,I,"Diagnosis, Pharmacology, Patient Care, Clinical Examination, Medical Ethics, Emergency Medicine"
2131.0100,Biologist,Research & Science,Science,I,R,"Lab Techniques, Data Analysis, Research Methodology, Scientific Writing, Taxonomy, Field Research"
2113.0100,Chemist,Research & Industry,Science,I,R,"Analytical Chemistry, Spectroscopy, Lab Safety, Quality Testing, Data Recording, Chemical Synthesis"
2111.0100,Physicist,Research,Science,I,R,"Quantum Mechanics, Data Analysis, Lab Instrumentation, Mathematical Modelling, Scientific Writing, Simulation"
2133.0100,Environmental Scientist,Environment,Science,I,R,"Environmental Monitoring, GIS, Policy Analysis, Field Research, Data Analysis, Report Writing"
2132.0100,Agricultural Scientist,Agriculture,Science,I,R,"Soil Science, Crop Management, Agronomy, Pest Control, Research Methods, Data Analysis"
2149.0100,Biomedical Engineer,Healthcare Tech,Science,R,I,"Medical Devices, Biology, Electronics, Hospital Equipment, Regulatory Compliance, Signal Processing"
2221.0100,Nurse,Healthcare,Science,S,C,"Patient Care, Clinical Procedures, Medication Administration, Vital Monitoring, EMR, Communication"
3211.0100,Medical Lab Technician,Healthcare,Science,I,R,"Sample Analysis, Lab Equipment, Microbiology, Biochemistry, Quality Control, Report Writing"
3212.0100,Radiographer,Healthcare Imaging,Science,I,R,"X-Ray Operation, MRI, CT Scan, Radiation Safety, Patient Positioning, Medical Terminology"
3112.0100,Civil Engineering Technician,Construction,Science,R,I,"AutoCAD, Site Supervision, Quantity Surveying, Material Testing, Blueprints, Safety Compliance"
3213.0100,Biotech Lab Technician,Biotechnology,Science,I,R,"Cell Culture, PCR, Gel Electrophoresis, Lab Safety, Microscopy, Data Recording"
3119.1201,Solar Energy Technician,Green Energy,Science,R,C,"Solar PV Installation, Electrical Wiring, Energy Auditing, Safety Protocols, Troubleshooting, Maintenance"
3117.0100,Mining Technician,Mining,Science,R,I,"Mine Safety, Drilling Equipment, Rock Mechanics, Blasting Basics, Surveying, Equipment Maintenance"
4222.0100,Medical Records Clerk,Healthcare Admin,Science,C,I,"Medical Coding, EMR Software, Filing, Data Entry, Patient Privacy, Report Generation"
4221.0100,Hospital Admissions Clerk,Healthcare Admin,Science,C,S,"Patient Registration, Insurance Verification, Data Entry, Communication, MS Office, Scheduling"
4132.0100,Lab Data Entry Clerk,Research Support,Science,C,R,"Data Entry, MS Excel, Lab Terminology, Accuracy, Record Keeping, Report Formatting"
3258.0100,Paramedic / EMT,Emergency Healthcare,Science,S,R,"First Aid, CPR, Emergency Response, Patient Stabilisation, Medical Equipment, Communication"
3255.0100,Physiotherapy Assistant,Rehabilitation,Science,S,R,"Exercise Assistance, Patient Support, Anatomy Basics, Rehabilitation Equipment, Documentation, Empathy"
3240.0100,Veterinary Assistant,Animal Healthcare,Science,S,R,"Animal Handling, Surgical Assistance, Vaccination Support, Lab Basics, Animal Nutrition, Observation"
3256.0100,Dialysis Technician,Healthcare,Science,R,S,"Dialysis Machine Operation, Patient Monitoring, Infection Control, Medical Terminology, Documentation, Empathy"
6111.0100,Commercial Farmer,Agriculture,Science,R,I,"Crop Science, Irrigation, Soil Testing, Agri-Business, Farm Machinery, Market Linkage"
6122.0100,Aquaculture Farmer,Fisheries,Science,R,I,"Fish Biology, Water Quality, Feed Management, Breeding Techniques, Aquatic Disease, Harvesting"
6130.0100,Forestry Officer,Forestry,Science,R,I,"Forest Management, Wildlife Conservation, GIS, Tree Identification, Fire Prevention, Field Surveys"
7411.0100,Electrician,Electrical Services,Science,R,C,"Wiring, Circuit Boards, Safety Compliance, Electrical Tools, Fault Diagnosis, Load Calculation"
7421.0100,Electronics Mechanic,Electronics,Science,R,I,"Circuit Repair, Soldering, Electronic Testing, Component Identification, Oscilloscope, Schematics"
8341.0100,Agricultural Machine Operator,Agriculture,Science,R,C,"Tractor Operation, Farm Machinery, Maintenance, Safety, GPS Guidance, Crop Knowledge"
8342.0100,Construction Equipment Operator,Construction,Science,R,C,"Crane/JCB Operation, Site Safety, Load Management, Equipment Maintenance, Blueprint Basics, Signals"
2411.0101,Chartered Accountant,BFSI,Commerce,C,E,"Taxation, Auditing, GST, Financial Reporting, Tally, Corporate Law"
2412.0100,Financial Analyst,Finance,Commerce,C,E,"Financial Modelling, Excel, Valuation, Equity Research, Bloomberg, Report Writing"
2413.0100,Stockbroker,Capital Markets,Commerce,E,C,"Stock Markets, NISM Certification, Risk Assessment, Client Management, Trading Platforms, Market Analysis"
2421.0100,Management Consultant,Consulting,Commerce,E,C,"Business Strategy, Data Analysis, Presentation, Problem Solving, Project Management, Client Relations"
2431.0100,Advertising Manager,Marketing,Commerce,E,A,"Campaign Planning, Digital Marketing, Branding, Media Buying, Copywriting, Analytics"
2432.0100,Public Relations Officer,Communications,Commerce,E,A,"Media Relations, Press Release Writing, Crisis Communication, Social Media, Branding, Networking"
2422.0100,Policy Analyst,Government & Policy,Commerce,E,I,"Policy Research, Data Analysis, Report Writing, Public Administration, Economics, Stakeholder Engagement"
3311.0100,Accountant,Finance & Audit,Commerce,C,E,"Bookkeeping, Tally, GST Filing, TDS, Financial Statements, MS Excel"
3312.0100,Credit Officer,Banking,Commerce,C,E,"Credit Appraisal, Risk Analysis, Banking Laws, Financial Statements, Loan Processing, MS Excel"
3321.0100,Insurance Agent,Insurance,Commerce,E,C,"Product Knowledge, Client Acquisition, Policy Explanation, IRDAI Regulations, Communication, CRM"
3322.0100,Sales Representative,Sales,Commerce,E,C,"Prospecting, Negotiation, CRM, Communication, Product Knowledge, Target Achievement"
3355.0100,Tax Inspector,Government Revenue,Commerce,C,E,"Income Tax Law, GST, Auditing, Investigation, Government Procedures, MS Excel"
4121.0100,Accounts Clerk,Accounts,Commerce,C,E,"Data Entry, Tally, Invoice Processing, Bank Reconciliation, Filing, MS Excel"
4211.0100,Bank Teller,Banking,Commerce,C,E,"Cash Handling, Banking Software, Customer Service, KYC, Attention to Detail, Compliance"
3313.0100,Bookkeeper,Accounts,Commerce,C,I,"Ledger Maintenance, Tally, Accounts Payable, Accounts Receivable, Reconciliation, Data Entry"
4212.0100,Credit & Loans Officer,Banking & Finance,Commerce,C,E,"Loan Assessment, Credit Scoring, Banking Regulations, Documentation, Risk Management, MS Excel"
5221.0100,Retail Store Manager,Retail,Commerce,E,C,"Inventory Management, Team Leadership, Sales, Visual Merchandising, Customer Service, POS Systems"
5222.0100,Sales Supervisor,Retail & Sales,Commerce,E,C,"Team Management, Sales Targets, Customer Relations, Reporting, Product Knowledge, Motivation"
3339.0100,Business Development Executive,Sales & Marketing,Commerce,E,C,"Lead Generation, Market Research, Pitching, CRM, Networking, Proposal Writing"
1211.0100,Finance Manager,Corporate Finance,Commerce,E,C,"Financial Planning, Budgeting, Risk Management, Leadership, Financial Reporting, CA/MBA"
2634.0100,Psychologist,Mental Health,Arts,I,S,"Counseling, Psychological Assessment, CBT, Report Writing, Empathy, Research Methods"
2611.0100,Lawyer,Legal Services,Arts,E,I,"Legal Research, Drafting, Court Procedures, Negotiation, Client Counseling, Constitutional Law"
2635.0100,Social Worker,Social Service,Arts,S,A,"Community Outreach, Counseling, Report Writing, NGO Management, Crisis Intervention, Empathy"
2642.0100,Journalist,Media,Arts,A,E,"Reporting, Interviewing, Writing, Research, Digital Media, Fact Checking"
2163.0100,Graphic Designer,Design,Arts,A,R,"Adobe Photoshop, Illustrator, Typography, Branding, UI Basics, Visual Communication"
2166.0100,Fashion Designer,Fashion & Textiles,Arts,A,E,"Pattern Making, Textile Knowledge, Sketching, Trend Forecasting, CAD, Fashion Marketing"
2654.0100,Film Director,Entertainment,Arts,A,E,"Screenplay, Camera Direction, Editing, Storytelling, Leadership, Production Management"
2643.0100,Translator / Interpreter,Language Services,Arts,A,I,"Bilingual Proficiency, Transcription, Cultural Sensitivity, Accuracy, Subject Terminology, Editing"
3412.0100,Paralegal / Legal Assistant,Legal Support,Arts,C,E,"Legal Drafting, Case Filing, Research, MS Word, Court Procedures, Documentation"
2352.0100,Special Education Teacher,Inclusive Education,Arts,S,C,"Disability Awareness, IEP Planning, Adaptive Teaching, Patience, RCI Compliance, Communication"
2656.0100,Broadcast Presenter,Media,Arts,A,E,"On-Camera Presence, Scripting, Voice Clarity, Research, Editing, Social Media"
2641.0100,Technical Writer,Media & Publishing,Arts,A,I,"Writing, Research, Documentation, MS Word, Content Structuring, Editing"
4411.0100,Library Clerk,Education & Library,Arts,C,I,"Cataloguing, Library Software, Book Classification, Record Keeping, Research Assistance, Communication"
4120.0100,Administrative Secretary,Administration,Arts,C,E,"Correspondence, MS Office, Scheduling, Filing, Communication, Minutes Writing"
4419.0100,Court Clerk,Judiciary,Arts,C,E,"Legal Filing, Case Records, Court Procedures, Documentation, MS Word, Attention to Detail"
2310.0200,School Teacher,Education,Arts,S,A,"Lesson Planning, Classroom Management, Communication, Assessment Design, Curriculum, Mentoring"
2636.0100,Religious / Community Worker,Social & Community,Arts,S,C,"Theology, Counseling, Community Service, Communication, Cultural Knowledge, Leadership"
2431.0200,Museum Curator,Culture & Heritage,Arts,A,I,"Art History, Collection Management, Exhibition Planning, Research, Documentation, Public Engagement"
2651.0100,Visual Artist / Painter,Creative Arts,Arts,A,I,"Drawing, Painting, Adobe Suite, Composition, Art History, Exhibition Planning"
8212.0100,Print Machine Operator,Publishing & Print,Arts,R,C,"Printing Equipment, Colour Calibration, Quality Inspection, Layout Basics, Maintenance, Attention to Detail"
3119.1202,Solar PV Technician,Green Energy,Vocational,R,I,"Solar Panel Installation, Wiring, Inverter Setup, Safety, Energy Auditing, Troubleshooting"
3154.0100,Air Traffic Control Technician,Aviation,Vocational,R,C,"ATC Equipment, Radio Communication, Radar Operation, Safety Protocols, Navigation Basics, Documentation"
7432.0100,Refrigeration & AC Technician,HVAC Services,Vocational,R,I,"AC Installation, Gas Charging, Fault Diagnosis, Electrical Basics, Safety, Maintenance"
4321.0100,Logistics / Dispatch Clerk,Logistics & Transport,Vocational,C,R,"Inventory Management, Dispatch Coordination, ERP Software, Documentation, Communication, Attention to Detail"
4322.0100,Inventory & Stores Clerk,Warehousing,Vocational,C,R,"Stock Management, Barcode Scanning, ERP/WMS, Physical Verification, Filing, Reporting"
5111.0300,Cabin Crew / Air Hostess,Aviation,Vocational,S,R,"Passenger Safety, First Aid, Communication, Grooming, Multilingual, In-flight Service"
5120.0100,Chef / Commercial Cook,Hospitality,Vocational,R,C,"Cooking Techniques, Menu Planning, Food Safety, Kitchen Management, HACCP, Inventory"
5141.0100,Hairdresser / Beautician,Beauty & Wellness,Vocational,R,S,"Hair Cutting, Coloring, Skincare, Salon Management, Product Knowledge, Customer Service"
5411.0100,Firefighter,Public Safety,Vocational,R,S,"Fire Safety, First Aid, Physical Fitness, Rescue Operations, Equipment Handling, Teamwork"
5412.0100,Police Officer,Law Enforcement,Vocational,R,S,"Law Knowledge, Physical Fitness, Investigation, Communication, State PSC Exam, Report Writing"
5151.0100,Hotel Front Desk Officer,Hospitality,Vocational,S,C,"Check-in/Check-out, PMS Software, Communication, Complaint Handling, Billing, Grooming"
7215.0100,Welder,Manufacturing,Vocational,R,C,"Arc Welding, MIG/TIG, Blueprint Reading, Metal Cutting, Safety Gear, Quality Inspection"
7231.0100,Automobile Mechanic,Automotive,Vocational,R,I,"Engine Repair, Diagnostics, EV Basics, Brake Systems, Auto Electricals, ITI Tools"
7512.0100,Baker / Pastry Chef,Hospitality,Vocational,R,C,"Baking Techniques, Recipe Scaling, Food Safety, Decoration, Oven Operation, Inventory"
7513.0100,Dairy Technician,Food Industry,Vocational,R,C,"Milk Processing, Quality Testing, Pasteurisation, Cold Chain, Equipment Maintenance, FSSAI"
7536.0100,Textile Worker / Weaver,Textiles,Vocational,R,C,"Weaving, Loom Operation, Thread Management, Pattern Following, Quality Check, Machine Maintenance"
8322.0100,Commercial Vehicle Driver,Logistics & Transport,Vocational,R,C,"HMV License, Route Planning, Vehicle Maintenance, Load Safety, Traffic Rules, GPS Navigation"
8342.0100,Construction Equipment Operator,Construction,Vocational,R,C,"Crane/JCB Operation, Site Safety, Load Management, Equipment Maintenance, Blueprint Basics, Signals"
8341.0100,Agricultural Machine Operator,Agriculture,Vocational,R,C,"Tractor Operation, Farm Machinery, Maintenance, Safety, GPS Guidance, Crop Knowledge"
8171.0100,Industrial Machine Operator,Manufacturing,Vocational,R,C,"Machine Setup, Production Targets, Quality Checks, Safety, Maintenance, Shift Reporting"
